order_id,quantity,order_date,order_time,unit_price,total_price,pizza_name
1,1,1/1/2015,11:38:36,13.25,13.25,The Hawaiian Pizza
2,1,1/1/2015,11:57:40,16,16,The Classic Deluxe Pizza
2,1,1/1/2015,11:57:40,18.5,18.5,The Five Cheese Pizza
2,1,1/1/2015,11:57:40,20.75,20.75,The Italian Supreme Pizza
2,1,1/1/2015,11:57:40,16,16,The Mexicana Pizza
2,1,1/1/2015,11:57:40,20.75,20.75,The Thai Chicken Pizza
3,1,1/1/2015,12:12:28,16.5,16.5,The Italian Supreme Pizza
3,1,1/1/2015,12:12:28,20.75,20.75,The Prosciutto and Arugula Pizza
4,1,1/1/2015,12:16:31,16.5,16.5,The Italian Supreme Pizza
5,1,1/1/2015,12:21:30,16.5,16.5,The Italian Supreme Pizza
6,1,1/1/2015,12:29:36,12.75,12.75,The Barbecue Chicken Pizza
6,1,1/1/2015,12:29:36,12,12,The Greek Pizza
7,1,1/1/2015,12:50:37,12.5,12.5,The Spinach Supreme Pizza
8,1,1/1/2015,12:51:37,12.5,12.5,The Spinach Supreme Pizza
9,1,1/1/2015,12:52:01,12,12,The Classic Deluxe Pizza
9,1,1/1/2015,12:52:01,12,12,The Green Garden Pizza
9,1,1/1/2015,12:52:01,20.5,20.5,The Italian Capocollo Pizza
9,1,1/1/2015,12:52:01,20.75,20.75,The Italian Supreme Pizza
9,1,1/1/2015,12:52:01,12.5,12.5,The Italian Supreme Pizza
9,1,1/1/2015,12:52:01,12,12,The Mexicana Pizza
9,1,1/1/2015,12:52:01,20.75,20.75,The Spicy Italian Pizza
9,1,1/1/2015,12:52:01,20.75,20.75,The Spinach Pesto Pizza
9,1,1/1/2015,12:52:01,12,12,The Vegetables + Vegetables Pizza
10,1,1/1/2015,13:00:15,20.25,20.25,The Mexicana Pizza
10,1,1/1/2015,13:00:15,20.75,20.75,The Southwest Chicken Pizza
11,1,1/1/2015,13:02:59,20.75,20.75,The Barbecue Chicken Pizza
11,1,1/1/2015,13:02:59,20.75,20.75,The California Chicken Pizza
11,1,1/1/2015,13:02:59,16.75,16.75,The California Chicken Pizza
11,1,1/1/2015,13:02:59,15.25,15.25,The Pepperoni Pizza
12,1,1/1/2015,13:04:41,20.75,20.75,The California Chicken Pizza
12,1,1/1/2015,13:04:41,12.75,12.75,The California Chicken Pizza
12,1,1/1/2015,13:04:41,20.75,20.75,The Chicken Pesto Pizza
12,1,1/1/2015,13:04:41,16.5,16.5,The Italian Supreme Pizza
13,1,1/1/2015,13:11:55,20.25,20.25,The Mexicana Pizza
14,1,1/1/2015,13:14:19,12,12,The Greek Pizza
15,1,1/1/2015,13:33:00,12,12,The Big Meat Pizza
15,1,1/1/2015,13:33:00,18.5,18.5,The Five Cheese Pizza
15,1,1/1/2015,13:33:00,20.75,20.75,The Soppressata Pizza
15,1,1/1/2015,13:33:00,12,12,The Greek Pizza
16,1,1/1/2015,13:34:07,17.95,17.95,The Four Cheese Pizza
16,1,1/1/2015,13:34:07,12,12,The Napolitana Pizza
16,1,1/1/2015,13:34:07,20.75,20.75,The Thai Chicken Pizza
17,1,1/1/2015,13:53:00,20.75,20.75,The Barbecue Chicken Pizza
17,1,1/1/2015,13:53:00,16.25,16.25,The Calabrese Pizza
17,1,1/1/2015,13:53:00,18.5,18.5,The Five Cheese Pizza
17,1,1/1/2015,13:53:00,14.75,14.75,The Four Cheese Pizza
17,1,1/1/2015,13:53:00,16.5,16.5,The Italian Supreme Pizza
17,1,1/1/2015,13:53:00,12.75,12.75,The Italian Vegetables Pizza
17,2,1/1/2015,13:53:00,16,32,The Mediterranean Pizza
17,1,1/1/2015,13:53:00,20.25,20.25,The Mexicana Pizza
17,1,1/1/2015,13:53:00,12.5,12.5,The Pepper Salami Pizza
17,1,1/1/2015,13:53:00,20.25,20.25,The Spinach and Feta Pizza
18,1,1/1/2015,13:57:08,20.5,20.5,The Napolitana Pizza
19,1,1/1/2015,13:59:09,20.5,20.5,The Italian Capocollo Pizza
19,1,1/1/2015,13:59:09,20.25,20.25,The Sicilian Pizza
20,1,1/1/2015,14:03:08,12,12,The Big Meat Pizza
20,1,1/1/2015,14:03:08,18.5,18.5,The Five Cheese Pizza
21,1,1/1/2015,14:14:29,20.5,20.5,The Italian Capocollo Pizza
22,1,1/1/2015,14:16:26,18.5,18.5,The Five Cheese Pizza
22,1,1/1/2015,14:16:26,16,16,The Italian Capocollo Pizza
22,1,1/1/2015,14:16:26,20.75,20.75,The Southwest Chicken Pizza
23,1,1/1/2015,14:19:03,12.75,12.75,The Southwest Chicken Pizza
24,1,1/1/2015,14:23:01,16.75,16.75,The Barbecue Chicken Pizza
24,1,1/1/2015,14:23:01,16,16,The Italian Capocollo Pizza
24,1,1/1/2015,14:23:01,12.5,12.5,The Pepperoni Pizza
24,1,1/1/2015,14:23:01,12.5,12.5,The Prosciutto and Arugula Pizza
25,1,1/1/2015,14:44:44,16.25,16.25,The Sicilian Pizza
25,1,1/1/2015,14:44:44,20.75,20.75,The Thai Chicken Pizza
26,1,1/1/2015,14:54:26,12,12,The Classic Deluxe Pizza
26,1,1/1/2015,14:54:26,20.25,20.25,The Vegetables + Vegetables Pizza
27,1,1/1/2015,15:11:17,20.75,20.75,The Barbecue Chicken Pizza
27,1,1/1/2015,15:11:17,16,16,The Classic Deluxe Pizza
27,1,1/1/2015,15:11:17,20.25,20.25,The Spinach and Feta Pizza
28,1,1/1/2015,15:35:46,12.75,12.75,The Chicken Alfredo Pizza
29,1,1/1/2015,15:41:01,12,12,The Green Garden Pizza
30,1,1/1/2015,15:41:25,20.75,20.75,The Thai Chicken Pizza
31,1,1/1/2015,15:50:18,16,16,The Mexicana Pizza
31,1,1/1/2015,15:50:18,9.75,9.75,The Pepperoni Pizza
32,1,1/1/2015,15:53:18,12,12,The Big Meat Pizza
32,1,1/1/2015,15:53:18,20.25,20.25,The Green Garden Pizza
32,1,1/1/2015,15:53:18,20.5,20.5,The Italian Capocollo Pizza
32,1,1/1/2015,15:53:18,16.5,16.5,The Italian Supreme Pizza
33,1,1/1/2015,15:54:08,20.75,20.75,The Barbecue Chicken Pizza
33,1,1/1/2015,15:54:08,12,12,The Green Garden Pizza
34,1,1/1/2015,16:21:21,12,12,The Greek Pizza
35,1,1/1/2015,16:32:04,16,16,The Green Garden Pizza
35,1,1/1/2015,16:32:04,17.5,17.5,"The Pepperoni, Mushroom, and Peppers Pizza"
35,1,1/1/2015,16:32:04,12.5,12.5,The Pepperoni Pizza
35,1,1/1/2015,16:32:04,20.75,20.75,The Thai Chicken Pizza
36,1,1/1/2015,16:54:09,16.75,16.75,The Barbecue Chicken Pizza
36,1,1/1/2015,16:54:09,16,16,The Classic Deluxe Pizza
37,1,1/1/2015,16:56:09,20.75,20.75,The Italian Supreme Pizza
37,1,1/1/2015,16:56:09,20.25,20.25,The Mexicana Pizza
38,1,1/1/2015,17:03:00,10.5,10.5,The Hawaiian Pizza
38,1,1/1/2015,17:03:00,20.5,20.5,The Italian Capocollo Pizza
39,1,1/1/2015,17:07:23,20.75,20.75,The Italian Supreme Pizza
40,1,1/1/2015,17:14:36,17.95,17.95,The Four Cheese Pizza
40,1,1/1/2015,17:14:36,12.75,12.75,The Southwest Chicken Pizza
41,1,1/1/2015,17:15:20,14.75,14.75,The Four Cheese Pizza
41,1,1/1/2015,17:15:20,12,12,The Green Garden Pizza
42,1,1/1/2015,17:28:09,12,12,The Big Meat Pizza
42,1,1/1/2015,17:28:09,18.5,18.5,The Five Cheese Pizza
42,1,1/1/2015,17:28:09,20.25,20.25,The Mexicana Pizza
42,1,1/1/2015,17:28:09,16.5,16.5,The Pepper Salami Pizza
43,1,1/1/2015,17:38:34,16.75,16.75,The Chicken Alfredo Pizza
43,1,1/1/2015,17:38:34,16.5,16.5,The Italian Supreme Pizza
43,1,1/1/2015,17:38:34,20.75,20.75,The Pepper Salami Pizza
44,1,1/1/2015,17:54:20,12.5,12.5,The Spinach Pesto Pizza
45,1,1/1/2015,17:55:48,17.95,17.95,The Four Cheese Pizza
45,1,1/1/2015,17:55:48,10.5,10.5,The Hawaiian Pizza
45,1,1/1/2015,17:55:48,16.75,16.75,The Thai Chicken Pizza
46,1,1/1/2015,18:25:51,20.75,20.75,The Chicken Pesto Pizza
46,1,1/1/2015,18:25:51,20.5,20.5,The Classic Deluxe Pizza
46,1,1/1/2015,18:25:51,16.75,16.75,The Thai Chicken Pizza
47,1,1/1/2015,18:26:34,20.75,20.75,The Southwest Chicken Pizza
47,1,1/1/2015,18:26:34,12,12,The Vegetables + Vegetables Pizza
48,1,1/1/2015,18:26:42,16.75,16.75,The Chicken Pesto Pizza
48,1,1/1/2015,18:26:42,12,12,The Green Garden Pizza
48,1,1/1/2015,18:26:42,20.75,20.75,The Prosciutto and Arugula Pizza
48,1,1/1/2015,18:26:42,20.75,20.75,The Spicy Italian Pizza
49,1,1/1/2015,18:33:00,20.25,20.25,The Sicilian Pizza
50,1,1/1/2015,18:41:01,25.5,25.5,The Greek Pizza
51,1,1/1/2015,18:48:28,20.75,20.75,The Barbecue Chicken Pizza
51,1,1/1/2015,18:48:28,17.5,17.5,"The Pepperoni, Mushroom, and Peppers Pizza"
52,1,1/1/2015,18:53:02,16.5,16.5,The Hawaiian Pizza
52,1,1/1/2015,18:53:02,20.25,20.25,The Mexicana Pizza
52,1,1/1/2015,18:53:02,20.75,20.75,The Spicy Italian Pizza
53,1,1/1/2015,18:54:17,11,11,"The Pepperoni, Mushroom, and Peppers Pizza"
53,1,1/1/2015,18:54:17,16.5,16.5,The Spinach Supreme Pizza
54,1,1/1/2015,19:01:45,16.5,16.5,The Prosciutto and Arugula Pizza
54,1,1/1/2015,19:01:45,20.75,20.75,The Thai Chicken Pizza
55,1,1/1/2015,19:03:19,12.5,12.5,The Pepper Salami Pizza
55,1,1/1/2015,19:03:19,20.75,20.75,The Spicy Italian Pizza
56,1,1/1/2015,19:07:00,16,16,The Classic Deluxe Pizza
56,1,1/1/2015,19:07:00,20.25,20.25,The Mediterranean Pizza
56,1,1/1/2015,19:07:00,16.75,16.75,The Southwest Chicken Pizza
57,1,1/1/2015,19:10:51,16,16,The Classic Deluxe Pizza
58,1,1/1/2015,19:30:40,18.5,18.5,The Five Cheese Pizza
